name,brand,category,price,price_source(real/danawa/estimated),claim_type,kcal,sugar_g,carb_g,protein_g,fat_g,sodium_mg,serving_size,serving_unit,sweeteners(쉼표구분),sweetener_amounts(이름:g),allergens(쉼표구분),stock,image_url,nutrition_facts_url,verification_source(제품 상세페이지 URL),_src
[혼신마켓] 명란마요네즈,,조미료/소스,6500,real,,556,4.0,20.0,2.0,52.0,885.0,,,,,"- 난류, 우유 함유
- 본 제품은 난류, 우유, 땅콩, 대두, 밀, 새우, 돼지고기, 토마토, 닭고기, 쇠고기, 조개류(굴)를 사용한 제품과 같은 제조시설에서 제조",20,https://product-image.kurly.com/product/image/b6c71405-e8e2-4c67-bcaa-3fc838806210.jpg,,https://www.kurly.com/goods/5005753,kurly
[동원] 참치뱃살 깊은간장맛 135g* 1캔,,조미료/소스,3480,real,,195,7.0,7.0,13.0,13.0,1270.0,,,,,"- 대두, 밀 함유",20,https://product-image.kurly.com/product/image/a95a1710-f115-4488-a85b-b83ee8cd3bb8.jpg,,https://www.kurly.com/goods/1001238497,kurly
[쿠라콘] 겐엔 시오콘부(저염) 110g,,조미료/소스,13200,real,,214,16.7,23.8,32.9,0.2,6880.0,,,,,"하단 표시사항 참조
",20,https://product-image.kurly.com/product/image/718cf925-4d3a-406b-ae76-9cf58b7e3ee7.jpg,,https://www.kurly.com/goods/1002352882,kurly
[청정원] 맛선생 청정소고기 2종 (120g/250g),,조미료/소스,5480,real,,260,19.0,49.0,5.0,4.8,15380.0,,,,,,20,https://product-image.kurly.com/product/image/af1c716d-fa9d-491f-9b65-822b261f6116.jpg,,https://www.kurly.com/goods/1001340632,kurly
[동원] 리챔 더블라이트 3종 (택1),,즉석식품,5280,real,저당류,230,1.0,2.0,15.0,18.0,480.0,,,,,"-돼지고기, 쇠고기 함유",20,https://product-image.kurly.com/product/image/ef5b4589-f899-4567-af0f-29483fc40743.jpg,,https://www.kurly.com/goods/1001084593,kurly
[동원] 뽀로로 키즈참치 100g x 4캔,,즉석식품,10480,real,,285,0.75,0.75,14.0,25.0,510.0,,,,,- 밀 함유,20,https://product-image.kurly.com/product/image/5bab4159-d5cf-4a9b-b04a-a3bc17488e19.jpg,,https://www.kurly.com/goods/1001238477,kurly
[라벨리] 요거트 아이스크림 4종 (택1),,간식/디저트,1625,real,,90,13.0,16.0,1.0,2.5,60.0,,,,,"- 우유, 대두 함유
* 밀, 알류, 땅콩, 복숭아, 토마토, 호두 혼입 가능",20,https://product-image.kurly.com/product/image/ea7d9879-282f-43e0-8ee3-fb09802086de.jpg,,https://www.kurly.com/goods/1001455135,kurly
[페페브루노] 100% 코코넛 워터 1L,,음료,4390,real,,65,16.0,16.0,0.0,0.0,0.0,,,,,,20,https://product-image.kurly.com/product/image/7d10cca6-e917-4dc9-ae78-da9f1c086a0c.jpg,,https://www.kurly.com/goods/1002311657,kurly
[타이코코] 남홈 코코넛워터 350mL 2종 (택1),,음료,1450,real,,22,4.57,5.43,0.0,0.0,11.0,,,,,,20,https://product-image.kurly.com/product/image/53f16e7f-64b4-4173-aef1-e825a297b030.jpg,,https://www.kurly.com/goods/1001320795,kurly
[풀무원] 리얼과일 골드파인애플&골드키위 저지방 드레싱 525g,,조미료/소스,7380,real,,54,10.0,14.0,0.6,0.0,0.0,,,,,"-대두, 우유 함유
*밀, 메밀, 호두, 계란, 땅콩, 토마토, 복숭아, 새우, 돼지고기, 고등어, 게, 아황산류, 쇠고기, 닭고기, 오징어, 조개류(굴, 홍합, 전복 포함), 잣을 사용한 제품과 같은 제조시설에서",20,https://product-image.kurly.com/product/image/8bba60b3-cef6-4973-8f11-293aaa648b45.jpg,,https://www.kurly.com/goods/5149026,kurly
[소와나무] 쿨피스 복숭아 930mL,,유제품,1500,real,,0,0.0,0.71,0.0,0.0,39.0,,,,,- 우유 함유,20,https://product-image.kurly.com/product/image/66c398c4-2e4e-488c-9795-0d56d4a7f337.jpg,,https://www.kurly.com/goods/1001460237,kurly
[클룹] 트루코코 100% 코코넛워터 (330mL X 6개),,음료,6980,real,,21,4.85,5.45,0.0,0.0,15.0,,,,,,20,https://product-image.kurly.com/product/image/98a2651f-3ffc-4253-b797-508a11871da5.jpg,,https://www.kurly.com/goods/1001508807,kurly
[후타바] 라무네 아이스 바 (85mL X 2개),,간식/디저트,7000,real,,65,14.7,16.0,0.0,0.1,43.0,,,,,,20,https://product-image.kurly.com/product/image/5fca5ff7-b865-435d-8a48-24e4f7594cfd.jpg,,https://www.kurly.com/goods/1001695764,kurly
[오크베리] 아사이소르베 파인트 473mL 3종,,간식/디저트,17800,real,,112,17.0,28.0,0.0,0.0,5.0,,,,,,20,https://product-image.kurly.com/product/image/3f40464a-6677-4d9b-99e5-3ab994a0ffc0.jpg,,https://www.kurly.com/goods/1002117845,kurly
[노티드] 칸탈로프멜론 크림 도넛 (100g X 3개),,간식/디저트,11000,real,,365,19.0,40.0,5.0,21.0,180.0,,,,,"- 밀, 대두, 우유, 달걀 함유",20,https://product-image.kurly.com/product/image/1cbb95a2-268b-40ca-b19e-7b4f82e32213.jpg,,https://www.kurly.com/goods/1002280034,kurly
